"G_ID","group","clusters","x","y","link","geometry"
"G2_03",2,1,90.4702675628792,23.7021198540785,"https://www.google.com/maps/search/?api=1&query=23.70211985,90.47026756",c(90.4702675628792, 23.7021198540785)
"G2_04",2,1,90.4802256671251,23.7144872868075,"https://www.google.com/maps/search/?api=1&query=23.71448728,90.48022566",c(90.4802256671251, 23.7144872868075)
"G2_05",2,1,90.4676729343444,23.7134140002027,"https://www.google.com/maps/search/?api=1&query=23.71341400,90.46767293",c(90.4676729343444, 23.7134140002027)
"G2_06",2,1,90.4787131755181,23.6990182401137,"https://www.google.com/maps/search/?api=1&query=23.69901824,90.47871317",c(90.4787131755181, 23.6990182401137)
"G2_07",2,1,90.4745424035679,23.7032761302486,"https://www.google.com/maps/search/?api=1&query=23.70327613,90.47454240",c(90.4745424035679, 23.7032761302486)
"G2_08",2,1,90.4743977815548,23.6945857840732,"https://www.google.com/maps/search/?api=1&query=23.69458578,90.47439778",c(90.4743977815548, 23.6945857840732)
"G2_09",2,1,90.4693788830294,23.7137002179655,"https://www.google.com/maps/search/?api=1&query=23.71370021,90.46937888",c(90.4693788830294, 23.7137002179655)
"G2_10",2,1,90.4736589800939,23.6975786084413,"https://www.google.com/maps/search/?api=1&query=23.69757860,90.47365898",c(90.4736589800939, 23.6975786084413)
"G2_11",2,1,90.4680093629585,23.715784375801,"https://www.google.com/maps/search/?api=1&query=23.71578437,90.46800936",c(90.4680093629585, 23.715784375801)
"G2_12",2,1,90.4775572182018,23.6950366271493,"https://www.google.com/maps/search/?api=1&query=23.69503662,90.47755721",c(90.4775572182018, 23.6950366271493)
"G2_13",2,2,90.4851548331117,23.7482642479661,"https://www.google.com/maps/search/?api=1&query=23.74826424,90.48515483",c(90.4851548331117, 23.7482642479661)
"G2_14",2,2,90.4790289148474,23.7327617073037,"https://www.google.com/maps/search/?api=1&query=23.73276170,90.47902891",c(90.4790289148474, 23.7327617073037)
"G2_15",2,2,90.4805056060239,23.7209932015279,"https://www.google.com/maps/search/?api=1&query=23.72099320,90.48050560",c(90.4805056060239, 23.7209932015279)
"G2_16",2,2,90.4837091572457,23.7367767894673,"https://www.google.com/maps/search/?api=1&query=23.73677678,90.48370915",c(90.4837091572457, 23.7367767894673)
"G2_17",2,2,90.4822583498116,23.730402060418,"https://www.google.com/maps/search/?api=1&query=23.73040206,90.48225834",c(90.4822583498116, 23.730402060418)
"G2_18",2,2,90.4790357599139,23.7469802695796,"https://www.google.com/maps/search/?api=1&query=23.74698026,90.47903575",c(90.4790357599139, 23.7469802695796)
"G2_19",2,2,90.4789188878706,23.7396480330294,"https://www.google.com/maps/search/?api=1&query=23.73964803,90.47891888",c(90.4789188878706, 23.7396480330294)
"G2_20",2,2,90.4739071522709,23.7305910662956,"https://www.google.com/maps/search/?api=1&query=23.73059106,90.47390715",c(90.4739071522709, 23.7305910662956)
"G2_21",2,3,90.4851014149465,23.7022842217466,"https://www.google.com/maps/search/?api=1&query=23.70228422,90.48510141",c(90.4851014149465, 23.7022842217466)
"G2_22",2,3,90.4815912306948,23.7098469904627,"https://www.google.com/maps/search/?api=1&query=23.70984699,90.48159123",c(90.4815912306948, 23.7098469904627)
"G2_23",2,3,90.488562259982,23.705937820481,"https://www.google.com/maps/search/?api=1&query=23.70593782,90.48856225",c(90.488562259982, 23.705937820481)
"G2_24",2,3,90.4839325934673,23.7112879765801,"https://www.google.com/maps/search/?api=1&query=23.71128797,90.48393259",c(90.4839325934673, 23.7112879765801)
"G2_25",2,3,90.4867705541641,23.6988573112559,"https://www.google.com/maps/search/?api=1&query=23.69885731,90.48677055",c(90.4867705541641, 23.6988573112559)
"G2_26",2,3,90.4839707664999,23.7140368200669,"https://www.google.com/maps/search/?api=1&query=23.71403682,90.48397076",c(90.4839707664999, 23.7140368200669)
"G2_27",2,3,90.4891038590355,23.7162695125118,"https://www.google.com/maps/search/?api=1&query=23.71626951,90.48910385",c(90.4891038590355, 23.7162695125118)
"G2_28",2,3,90.4946578133764,23.7067296444663,"https://www.google.com/maps/search/?api=1&query=23.70672964,90.49465781",c(90.4946578133764, 23.7067296444663)
"G2_29",2,3,90.4821989431234,23.7105747307708,"https://www.google.com/maps/search/?api=1&query=23.71057473,90.48219894",c(90.4821989431234, 23.7105747307708)
"G2_30",2,3,90.4953563971527,23.7036996709517,"https://www.google.com/maps/search/?api=1&query=23.70369967,90.49535639",c(90.4953563971527, 23.7036996709517)
"G2_31",2,3,90.4842209828854,23.7085211438549,"https://www.google.com/maps/search/?api=1&query=23.70852114,90.48422098",c(90.4842209828854, 23.7085211438549)
"G2_32",2,4,90.4986735331895,23.7195177571592,"https://www.google.com/maps/search/?api=1&query=23.71951775,90.49867353",c(90.4986735331895, 23.7195177571592)
"G2_33",2,4,90.5031843412663,23.7113863461616,"https://www.google.com/maps/search/?api=1&query=23.71138634,90.50318434",c(90.5031843412663, 23.7113863461616)
"G2_34",2,4,90.5070144306307,23.711705577479,"https://www.google.com/maps/search/?api=1&query=23.71170557,90.50701443",c(90.5070144306307, 23.711705577479)
"G2_35",2,4,90.4993878086716,23.7144851816238,"https://www.google.com/maps/search/?api=1&query=23.71448518,90.49938780",c(90.4993878086716, 23.7144851816238)
"G2_36",2,4,90.4936876294524,23.7201043451367,"https://www.google.com/maps/search/?api=1&query=23.72010434,90.49368762",c(90.4936876294524, 23.7201043451367)
"G2_37",2,4,90.4977946935965,23.7138018528776,"https://www.google.com/maps/search/?api=1&query=23.71380185,90.49779469",c(90.4977946935965, 23.7138018528776)
"G2_38",2,4,90.4926090983117,23.7177845898531,"https://www.google.com/maps/search/?api=1&query=23.71778458,90.49260909",c(90.4926090983117, 23.7177845898531)
"G2_39",2,4,90.4946854485538,23.7173503926266,"https://www.google.com/maps/search/?api=1&query=23.71735039,90.49468544",c(90.4946854485538, 23.7173503926266)
"G2_40",2,4,90.4937640714549,23.7122916443772,"https://www.google.com/maps/search/?api=1&query=23.71229164,90.49376407",c(90.4937640714549, 23.7122916443772)
"G2_41",2,4,90.4930823317457,23.7168347080101,"https://www.google.com/maps/search/?api=1&query=23.71683470,90.49308233",c(90.4930823317457, 23.7168347080101)
"G2_42",2,5,90.4962709035913,23.722968929414,"https://www.google.com/maps/search/?api=1&query=23.72296892,90.49627090",c(90.4962709035913, 23.722968929414)
"G2_43",2,5,90.4923167266895,23.7316078577156,"https://www.google.com/maps/search/?api=1&query=23.73160785,90.49231672",c(90.4923167266895, 23.7316078577156)
"G2_44",2,5,90.4967250509379,23.7304592578957,"https://www.google.com/maps/search/?api=1&query=23.73045925,90.49672505",c(90.4967250509379, 23.7304592578957)
"G2_45",2,5,90.4928465176281,23.7226525558478,"https://www.google.com/maps/search/?api=1&query=23.72265255,90.49284651",c(90.4928465176281, 23.7226525558478)
"G2_46",2,5,90.4901718397912,23.7312401440514,"https://www.google.com/maps/search/?api=1&query=23.73124014,90.49017183",c(90.4901718397912, 23.7312401440514)
"G2_47",2,5,90.4977851916975,23.7281303606388,"https://www.google.com/maps/search/?api=1&query=23.72813036,90.49778519",c(90.4977851916975, 23.7281303606388)
"G2_48",2,5,90.4977208695631,23.7303849867619,"https://www.google.com/maps/search/?api=1&query=23.73038498,90.49772086",c(90.4977208695631, 23.7303849867619)
"G2_49",2,5,90.4941519806991,23.7314685530517,"https://www.google.com/maps/search/?api=1&query=23.73146855,90.49415198",c(90.4941519806991, 23.7314685530517)
"G2_50",2,5,90.4955823543696,23.7239986091145,"https://www.google.com/maps/search/?api=1&query=23.72399860,90.49558235",c(90.4955823543696, 23.7239986091145)
